xvar	variable	value
24720	validate_BAccuracy	0.829868154158215
24720	validate_tnr	0.836206896551724
24720	test_tpr	0.793370165745856
24720	test_BAccuracy	0.810772728329724
24720	test_tnr	0.828175290913592
27467	train_tpr	0.831053351573187
27467	train_BAccuracy	0.833791650705449
27467	train_tnr	0.83652994983771
27467	validate_tpr	0.812757201646091
27467	validate_BAccuracy	0.821662829975888
27467	validate_tnr	0.830568458305685
27467	test_tpr	0.792887029288703
27467	test_BAccuracy	0.807197150607331
27467	test_tnr	0.821507271925959
