xvar	variable	value
39	train_tpr	0
39	train_BAccuracy	0.5
39	train_tnr	1
39	validate_tpr	NA
39	validate_BAccuracy	NA
39	validate_tnr	1
39	test_tpr	0
39	test_BAccuracy	0.5
39	test_tnr	1
78	train_tpr	1
78	train_BAccuracy	0.5
78	train_tnr	0
78	validate_tpr	1
78	validate_BAccuracy	0.5
78	validate_tnr	0
78	test_tpr	1
78	test_BAccuracy	0.5
78	test_tnr	0
117	train_tpr	0.176470588235294
117	train_BAccuracy	0.588235294117647
117	train_tnr	1
117	validate_tpr	0.2
117	validate_BAccuracy	0.6
117	validate_tnr	1
117	test_tpr	0
117	test_BAccuracy	0.5
117	test_tnr	1
156	train_tpr	0.260869565217391
156	train_BAccuracy	0.630434782608696
156	train_tnr	1
156	validate_tpr	0
156	validate_BAccuracy	0.5
156	validate_tnr	1
156	test_tpr	0
156	test_BAccuracy	0.5
156	test_tnr	1
195	train_tpr	0.333333333333333
195	train_BAccuracy	0.666666666666667
195	train_tnr	1
195	validate_tpr	0
195	validate_BAccuracy	0.5
195	validate_tnr	1
195	test_tpr	0
195	test_BAccuracy	0.5
195	test_tnr	1
234	train_tpr	0.615384615384615
234	train_BAccuracy	0.802741812642803
234	train_tnr	0.99009900990099
234	validate_tpr	0.111111111111111
234	validate_BAccuracy	0.529239766081871
234	validate_tnr	0.947368421052632
234	test_tpr	0.125
234	test_BAccuracy	0.536858974358974
234	test_tnr	0.948717948717949
273	train_tpr	0.80952380952381
273	train_BAccuracy	0.855581576893052
273	train_tnr	0.901639344262295
273	validate_tpr	0.571428571428571
273	validate_BAccuracy	0.651567944250871
273	validate_tnr	0.731707317073171
273	test_tpr	0.6
273	test_BAccuracy	0.618181818181818
273	test_tnr	0.636363636363636
312	train_tpr	0.711538461538462
312	train_BAccuracy	0.800213675213675
312	train_tnr	0.888888888888889
312	validate_tpr	0.571428571428571
312	validate_BAccuracy	0.619047619047619
312	validate_tnr	0.666666666666667
312	test_tpr	0.4
312	test_BAccuracy	0.491666666666667
