xvar	variable	value
11.5	train_tpr	0.816955684007707
11.5	train_BAccuracy	0.812978390851274
11.5	train_tnr	0.809001097694841
11.5	validate_tpr	0.720930232558139
11.5	validate_BAccuracy	0.749445379436964
11.5	validate_tnr	0.777960526315789
11.5	test_tpr	0.643979057591623
11.5	test_BAccuracy	0.69720175290447
11.5	test_tnr	0.750424448217317
11.7	train_tpr	0.816955684007707
11.7	train_BAccuracy	0.813252814561483
11.7	train_tnr	0.809549945115258
11.7	validate_tpr	0.720930232558139
11.7	validate_BAccuracy	0.750267747858017
11.7	validate_tnr	0.779605263157895
11.7	test_tpr	0.643979057591623
11.7	test_BAccuracy	0.698050649339105
11.7	test_tnr	0.752122241086587
12	train_tpr	0.81888246628131
12	train_BAccuracy	0.814765053118701
12	train_tnr	0.810647639956092
12	validate_tpr	0.726744186046512
12	validate_BAccuracy	0.753174724602203
12	validate_tnr	0.779605263157895
12	test_tpr	0.643979057591623
12	test_BAccuracy	0.69720175290447
12	test_tnr	0.750424448217317
12.2	train_tpr	0.81888246628131
12.2	train_BAccuracy	0.81503947682891
12.2	train_tnr	0.811196487376509
12.2	validate_tpr	0.720930232558139
12.2	validate_BAccuracy	0.750267747858017
12.2	validate_tnr	0.779605263157895
12.2	test_tpr	0.643979057591623
12.2	test_BAccuracy	0.698050649339105
12.2	test_tnr	0.752122241086587
12.5	train_tpr	0.81888246628131
12.5	train_BAccuracy	0.814490629408493
12.5	train_tnr	0.810098792535675
12.5	validate_tpr	0.720930232558139
12.5	validate_BAccuracy	0.75109011627907
12.5	validate_tnr	0.78125
12.5	test_tpr	0.643979057591623
12.5	test_BAccuracy	0.698050649339105
12.5	test_tnr	0.752122241086587
